sep=,
"Time","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_z","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_z"
1720440320777,-27.935556,-19.853779,4.166667,-28.067934,-9.184114,3.673445
1720440321677,-27.938066,-20.115269,2.976774,-28.048225,-9.408081,2.561849
1720440323110,-27.941505,-20.382793,1.107527,-28.018202,-9.63146,0.814329
1720440324826,-27.9557,-20.47957,-0.883441,-27.99641,-9.700553,-1.048474
1720440326938,-27.987095,-20.245592,-3.733333,-27.97756,-9.465316,-3.718016
1720440328113,-28.005159,-20.073978,-4.659784,-27.978617,-9.303087,-4.586554
1720440329368,-28.017202,-19.625801,-6.423226,-27.963882,-8.885535,-6.241193
1720440330857,-28.01075,-17.765591,-10.466666,-27.910622,-7.181853,-10.043054
1720440331764,-27.996557,-17.027958,-11.609032,-27.887659,-6.510462,-11.119237
1720440333102,-27.978926,-16.350536,-12.455915,-27.866167,-5.895702,-11.918324
1720440335854,-27.863655,-13.503222,-15.156988,-27.756804,-3.319719,-14.473966
1720440336735,-27.817636,-12.448172,-15.882151,-27.718102,-2.36767,-15.16289
1720440338159,-27.773331,-11.568602,-16.415052,-27.68224,-1.574657,-15.670252
1720440339645,-27.652472,-9.228817,-17.433117,-27.590919,0.531321,-16.645924
1720440340556,-27.611612,-8.299355,-17.735483,-27.562017,1.367072,-16.937849
1720440342019,-27.573332,-7.378065,-17.965162,-27.53628,2.194879,-17.161612
1720440342899,-27.54624,-6.645162,-18.113119,-27.519056,2.853138,-17.307026
1720440344343,-27.536345,-6.476128,-18.142796,-27.512239,3.004883,-17.336458
1720440345646,-27.551401,-6.466666,-18.141937,-27.524387,3.013501,-17.335495
1720440348175,-27.553982,-6.460644,-18.153118,-27.526327,3.019024,-17.345974
1720440349468,-27.551395,-6.477419,-18.151829,-27.52412,3.003946,-17.34466
1720440352012,-27.556555,-6.483871,-18.150967,-27.528204,2.998201,-17.343714
1720440353226,-27.553545,-6.458494,-18.149248,-27.52606,3.020914,-17.342377
1720440357029,-3.514408,26.58667,-19.791395,-8.573867,32.442944,-19.560431
1720440359722,-3.573333,26.615486,-19.71699,-8.622488,32.468681,-19.490072
1720440360801,-3.568172,26.613333,-19.730322,-8.618123,32.46682,-19.502619
1720440362063,-3.563871,26.609032,-19.726454,-8.614705,32.462887,-19.499029
1720440364681,-3.501076,26.631393,-19.755268,-8.564201,32.482609,-19.52722
1720440365789,-3.482581,26.626665,-19.76774,-8.549158,32.478306,-19.539152
1720440367190,-3.486022,26.618063,-19.77548,-8.551705,32.470692,-19.546267
1720440368902,-0.295484,26.460215,-20.218927,-5.990199,32.303234,-20.01169
1720440370019,0.752688,26.430969,-20.228819,-5.15109,32.2673,-20.037668
1720440370968,2.081721,26.39312,-20.127741,-4.088973,32.220047,-19.964231
1720440372352,3.746667,26.367313,-19.848169,-2.761084,32.178875,-19.729242
1720440373767,6.544086,26.391829,-18.922148,-0.538008,32.16655,-18.907848
1720440374630,7.304947,26.426233,-18.509249,0.063772,32.186646,-18.53393
1720440377433,9.397848,26.563007,-17.180212,1.715565,32.278011,-17.324827
1720440378809,10.12172,26.604729,-16.610754,2.285145,32.303638,-16.803808
1720440379931,11.012905,26.696774,-15.747095,2.983362,32.370228,-16.010519
1720440381008,12.163869,26.849463,-14.44817,3.88182,32.48494,-14.81449
1720440382130,12.88602,26.962578,-13.433548,4.442147,32.570671,-13.877324
