sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720439452340,1
1720439454306,1
1720439456463,1
1720439458153,1
1720439459922,1
1720439461572,1
1720439463886,1
1720439465596,1
1720439467590,1
1720439469961,1
1720439471973,1
1720439474097,1
1720439475791,1
1720439478021,8
1720439480302,8
1720439481858,8
1720439484008,1
1720439485588,1
1720439487717,1
1720439492176,1
1720439494399,1
1720439496332,1
1720439498039,1
1720439500120,1
1720439501819,1
1720439503822,1
1720439505526,1
1720439507664,1
1720439510354,1
1720439511873,1
1720439514125,1
1720439515463,1
1720439518015,1
1720439520235,1
1720439521946,1
1720439523853,1
1720439526049,1
1720439527922,1
1720439530114,1
1720439531759,1
1720439533858,1
1720439536129,1
1720439537688,1
1720439539876,1
1720439541443,1
1720439543969,1
1720439546536,1
1720439548125,1
1720439550316,1
1720439551661,1
1720439553791,1
1720439555610,1
1720439557800,1
1720439559996,1
1720439561545,1
1720439563918,1
1720439567935,1
1720439570357,1
1720439571690,1
1720439573827,1
1720439575428,1
1720439577880,1
1720439580075,1
1720439581790,1
1720439584152,1
1720439586365,1
1720439587860,1
1720439589727,1
1720439591722,1
1720439593878,1
1720439596103,1
1720439597644,1
1720439599810,1
1720439603881,1
1720439606204,1
1720439607563,1
1720439610022,1
1720439611825,1
1720439613862,1
1720439615608,1
1720439617908,1
1720439620105,1
1720439623231,1
1720439624679,1
1720439627555,1
1720439630018,1
1720439631772,1
1720439633800,1
1720439635458,1
1720439638027,1
1720439640498,1
1720439642733,1
1720439644251,1
1720439646075,1
1720439647734,1
1720439649824,1
1720439651517,1
1720439653569,1
1720439655980,1
1720439659986,1
1720439662273,1
1720439663564,1
1720439666060,1
1720439667706,1
1720439669892,1
1720439671566,1
1720439673773,1
1720439675430,1
1720439678023,1
1720439680213,1
1720439683679,1
1720439685339,1
1720439687691,1
1720439689882,1
1720439691604,1
1720439693632,1
1720439696430,1
1720439698009,1
1720439700221,1
1720439701559,1
1720439703751,1
1720439705444,1
1720439707891,1
1720439710085,1
1720439712240,1
1720439714090,1
1720439716329,1
1720439717780,1
1720439719907,1
1720439721583,1
1720439723657,1
1720439725851,1
1720439727538,1
1720439729772,1
1720439731974,1
1720439733771,1
1720439736332,1
1720439738425,1
1720439739649,1
1720439741796,1
1720439743857,1
1720439746021,1
1720439748256,1
1720439749771,1
1720439752237,1
1720439753770,1
1720439756332,1
1720439758254,1
1720439759912,1
1720439762085,1
1720439763715,1
1720439765875,1
